id,year,name,mean,lower,upper,Rhat,n.eff
2A,2A-2019-2020,cp_1,114.5035406,114.0442544,114.9985874,1.000105149,31163
2A,2A-2019-2020,cp_2,130.2049809,129.105384,130.9999138,1.000016041,14400
2A,2A-2019-2020,cp_3,136.4981797,136.0005647,136.9494663,1.000164927,33214
2A,2A-2019-2020,cp_4,137.498027,137.0178259,137.9670817,0.999969483,32192
2A,2A-2019-2020,int_1,0.990538062,0.18730768,1.768736395,1.000114158,29133
2A,2A-2019-2020,int_2,26.97896941,25.02285575,28.88678589,1.000039799,24667
2A,2A-2019-2020,int_3,41.57113009,38.36981296,44.75563994,1.000004709,19435
2A,2A-2019-2020,int_4,190.4623498,182.9038748,197.8559341,1.000402428,27738
2A,2A-2019-2020,int_5,317.473018,316.5956211,318.3782472,1.000105371,29477
2A,2A-2019-2020,sigma_1,3.785986963,3.395921238,4.189317457,1.000309928,25999
4A,4A-2019-2020,cp_1,68.49232687,68.0293447,68.99691187,1.002231262,26813
4A,4A-2019-2020,cp_2,74.76657888,74.00015794,75.83946976,1.000436793,18163
4A,4A-2019-2020,cp_3,88.06480206,86.24014829,88.99999705,1.000010173,10997
4A,4A-2019-2020,cp_4,121.2851602,118.9019287,123.9996649,1.000208534,7891
4A,4A-2019-2020,cp_5,165.3289308,153.775939,180.2200956,1.000093066,1428
4A,4A-2019-2020,cp_6,252.7048353,252.0000262,255.1455771,1.003797397,3047
4A,4A-2019-2020,int_1,0.805792961,0.457666287,1.159369292,1.000526159,29873
4A,4A-2019-2020,int_2,4.505482348,3.556276675,5.487744075,1.000266663,23558
4A,4A-2019-2020,int_3,7.379382311,6.7152338,8.071875743,1.000275624,23253
4A,4A-2019-2020,int_4,3.506408875,3.050174285,3.970729278,1.000132998,12188
4A,4A-2019-2020,int_5,7.641075821,7.160962072,8.282922622,1.000170366,4970
4A,4A-2019-2020,int_6,9.175362949,8.808260424,9.524484138,1.000232938,6368
4A,4A-2019-2020,int_7,5.15023291,4.768270259,5.530361656,1.000118574,22628
4A,4A-2019-2020,sigma_1,1.177254737,1.069698811,1.285221511,1.00007385,17964
5A,5A-2019-2020,cp_1,115.965857,114.3297903,117.9996858,1.009638471,1382
5A,5A-2019-2020,cp_2,118.3265644,117.0000765,124.4394252,1.027220666,194
5A,5A-2019-2020,cp_3,129.1045688,124.0002898,135.5781986,1.008291069,785
5A,5A-2019-2020,cp_4,176.4836392,166.6495804,183.0834534,1.012906387,3028
5A,5A-2019-2020,cp_5,205.4936521,205.0294431,205.9918146,1.000397103,26766
5A,5A-2019-2020,cp_6,246.4995722,246.0465037,246.9973317,1.000403974,32110
5A,5A-2019-2020,int_1,2.162410676,-2.649331644,6.862194328,1.000750688,18731
5A,5A-2019-2020,int_2,95.44052789,28.51652887,234.0386664,1.017155678,374
5A,5A-2019-2020,int_3,238.5378196,211.6700663,267.7150841,1.009393058,672
5A,5A-2019-2020,int_4,287.3886261,279.73803,295.1284116,1.005481965,2865
5A,5A-2019-2020,int_5,314.6474858,305.1890212,324.0102092,1.000960818,11089
5A,5A-2019-2020,int_6,391.0108594,384.2304904,397.8132701,1.00018858,28264
