id,year,one_int_loo,two_int_loo,three_int_loo,four_int_loo,five_int_loo
NA,NA,NA,NA,NA,NA,NA
2A,2A-2019-2020,-1179.52469821061,-753.077346403208,-715.472860286666,-536.692630121625,-508.242678168798
4A,4A-2019-2020,-658.193357556757,-562.985200426977,-523.503726321568,-509.22976213529,-9999
5A,5A-2019-2020,-1556.97450323529,-1314.15287918356,-1307.88357027116,-1145.57184393039,-1117.56231095247
6A,6A-2019-2020,-1818.75472229971,-9999,-1073.78027621202,-9999,-868.90381356561
3A,3A-2019-2020,-1012.30821110329,-768.900573187467,-564.872066267245,-558.673790821405,-438.085499149778
2J,2J-2019-2020,-1486.69784306708,-1458.85824223018,-1211.05748019122,-1202.2653967161,-9999
2J,2J-2020-2021,-1868.9415174329,-1849.50467824226,-1477.22004775037,-1390.87231934586,-9999
2J,2J-2021-2022,-799.255407533063,-755.237244184135,-722.848218013906,-721.392928167129,-9999
7A,7A-2019-2020,-571.159546195942,-381.622571319091,-324.278128486391,-9999,-308.001460251719
3J,3J-2019-2020,-1374.37179554487,-9999,-1334.87153653173,-9999,-9999
3J,3J-2020-2021,-1065.45625298285,-919.801473615602,-650.383187659557,-9999,-633.313251196702
5J,5J-2019-2020,-424.823069374194,-391.077913905653,-376.327361107753,-333.561837187071,-313.456082935792
4J,4J-2019-2020,-965.159248072256,-866.183947144932,-9999,-937.007949656962,-767.869656493221
4J,4J-2020-2021,-1505.32305385021,-1490.59100192496,-9999,-1205.73608626909,-1186.47804310948
4J,4J-2021-2022,-1322.13129299544,-9999,-1257.61215748842,-919.720747944333,-903.677919837309
6J,6J-2019-2020,-837.749268286524,-820.883349843345,-9999,-762.177575620655,-730.125855341363
6J,6J-2020-2021,-455.421239984645,-207.677215926007,-9999,-9999,-13.5729537776615
7J,7J-2019-2020,-737.70069774097,-705.232270908146,-9999,-9999,-9999
7J,7J-2020-2021,-703.483906723299,-646.260455294653,-600.770677756021,-638.30754789604,-9999
7J,7J-2021-2022,-62.5517219525084,-54.0370239640612,-25.3708725098529,-9999,-9999
9J (first deployment),9J (first deployment)-2019-2020,-24.9809265308544,58.1468954453233,80.7942056085156,82.758051508166,-9999
9A,9A-2019-2020,-1879.13571483393,-9999,-984.32842768153,-9999,-801.896337979257
9A,9A-2020-2021,-699.100217622086,-9999,-9999,-479.132790024669,-9999
2K,2K-2019-2020,-1311.72494272127,-1215.15549167833,-917.171630631319,-9999,-9999
2K,2K-2020-2021,-1298.86463724052,-1208.86361986592,-1032.68347509015,-9999,-962.818301942423
2K,2K-2021-2022,-633.730694427902,-564.610926598444,-520.179401213407,-515.128161884607,-9999
3K,3K-2019-2020,-1279.29192753492,-1188.7575818704,-9999,-880.42819954019,-9999
3K,3K-2020-2021,-1543.10323582572,-1482.30859340413,-9999,-9999,-9999
3K,3K-2021-2022,-600.394011308656,-519.881188321783,-9999,-365.235855839424,-9999
4K,4K-2019-2020,-1680.99670431024,-9999,-1242.86744924765,-9999,-9999
4K,4K-2020-2021,-1971.12193763652,-1919.75849878815,-9999,-9999,-1230.94222085697
4K,4K-2021-2022,-1567.1200145047,-1414.39001300424,-864.226728587328,-789.240702266388,-626.878677149674
6K,6K-2019-2020,-1531.72554854774,-9999,-816.5251831199,-768.598143636301,-9999
6K,6K-2020-2021,-1878.11824704995,-1854.09514708516,-1152.30870501154,-9999,-1052.57191451083
6K,6K-2021-2022,-1531.4305529483,-1491.71542486049,-873.960231990358,-828.720546700032,-9999
5K,5K-2019-2020,-324.771469905249,-226.756396462278,-206.48881646768,-203.20758750682,-9999
8A,8A-2020-2021,-2410.68009184602,-2282.31662637944,-2203.34391841323,-2175.37405658285,-1718.54635105124
8A,8A-2021-2022,-2217.48622475018,-1743.43108361676,-9999,-1709.15915029817,-1447.36367048976
1A,1A-2020-2021,-2301.85641743312,-2277.22843637402,-1464.91875103272,-1313.66349737373,-9999
1A,1A-2021-2022,-2085.3662028465,-2048.16625556989,-1503.51973973624,-1426.24554938797,-1274.44250004916
0A,0A-2020-2021,-1023.50581518363,-9999,-9999,-9999,-646.203255092945
0A,0A-2021-2022,-1042.0494148935,-1018.09227967495,-772.763271599069,-9999,-689.889551415249
1E,1E-2020-2021,-874.565167395533,-854.534429615833,-668.090004474475,-9999,-9999
1E,1E-2021-2022,-902.631236769204,-852.089145610721,-9999,-589.941012722281,-9999
2E,2E-2020-2021,-2145.4188670195,-9999,-1395.70100497283,-1381.88807852163,-1182.33601273708
