id,year,one_int_loo,two_int_loo,three_int_loo,four_int_loo,five_int_loo
NA,NA,NA,NA,NA,NA,NA
2A,2A-2019-2020,-1179.51759918188,-753.993233762714,-715.015410281059,-536.872988462578,-508.285670428547
4A,4A-2019-2020,-658.200644524764,-562.991261492097,-523.45746402105,-510.108919454393,-9999
5A,5A-2019-2020,-1556.97485375749,-1313.807440575,-1307.78832120568,-1145.02269696076,-1120.12916404087
6A,6A-2019-2020,-1818.71996807678,-9999,-1073.25293938308,-9999,-874.128568548109
3A,3A-2019-2020,-1012.30296650416,-768.974292253051,-566.557383384439,-9999,-9999
2J,2J-2019-2020,-1486.6401419057,-1458.97872037837,-1211.05110646718,-1202.2183549211,-9999
2J,2J-2020-2021,-1868.91392469335,-1849.3436462281,-1476.91710925609,-1390.85218592991,-9999
2J,2J-2021-2022,-799.279168609976,-754.773873818767,-724.99167878268,-9999,-9999
7A,7A-2019-2020,-571.162299930365,-381.508508032797,-324.62461522855,-314.854047048545,-9999
3J,3J-2019-2020,-1374.30167700331,-9999,-1335.11980938666,-9999,-9999
3J,3J-2020-2021,-1065.44538137517,-920.022302986028,-652.013293095361,-647.142538537937,-638.172465620584
5J,5J-2019-2020,-424.797737521705,-391.156878805275,-377.632268654787,-333.948678497179,-9999
4J,4J-2019-2020,-965.190337804635,-866.39777878337,-9999,-9999,-9999
4J,4J-2020-2021,-1505.1838575344,-9999,-1431.93773008915,-1205.53830261546,-1184.92330193503
4J,4J-2021-2022,-1322.07987799372,-9999,-1257.73965873544,-919.785002104059,-904.406510770774
6J,6J-2019-2020,-837.608580409861,-820.90269050179,-9999,-762.413931236969,-731.123084039198
6J,6J-2020-2021,-455.21054989086,-208.116399050442,-168.362654564847,-146.644524531304,-13.7584657773278
7J,7J-2019-2020,-737.745746203053,-707.36354210137,-617.175409581953,-9999,-9999
7J,7J-2020-2021,-703.498320000672,-646.188702139177,-9999,-9999,-9999
7J,7J-2021-2022,-62.5656431599014,-54.094825445912,-25.5098961532917,-19.0896563324559,-9999
9J (first deployment),9J (first deployment)-2019-2020,-27.6930959413308,57.9731643883764,81.5210523243637,83.5063853271634,-9999
9A,9A-2019-2020,-1879.11366343527,-9999,-985.010268984069,-9999,-804.604266502603
9A,9A-2020-2021,-699.146480305746,-572.244777842737,-529.879781001887,-479.985210466615,-9999
2K,2K-2019-2020,-1311.78293686538,-1215.27158381262,-9999,-9999,-9999
2K,2K-2020-2021,-1298.82687582377,-1208.80644468062,-1032.72501274394,-9999,-9999
2K,2K-2021-2022,-633.700604905692,-564.555730768649,-520.084217970828,-9999,-9999
3K,3K-2019-2020,-1279.33406591275,-1189.5445496358,-9999,-881.035682327801,-866.298348008228
3K,3K-2020-2021,-1543.10012405981,-9999,-9999,-9999,-9999
3K,3K-2021-2022,-600.361021309469,-520.533453848065,-497.56780815613,-366.486111672328,-9999
4K,4K-2019-2020,-1681.00581745379,-9999,-1245.31582067528,-9999,-1204.45295717088
4K,4K-2020-2021,-1971.19617846658,-1919.8026040146,-1275.51536823633,-1260.83625610282,-9999
4K,4K-2021-2022,-1567.09304492452,-1414.12023592323,-864.393432725234,-789.509876879674,-629.880204432471
