id,year,one_int_loo,two_int_loo,three_int_loo,four_int_loo,five_int_loo,six_int_loo,seven_int_loo
NA,NA,NA,NA,NA,NA,NA,NA,NA
2A,2A-2019-2020,-1179.50295077623,-755.013207006821,-715.66856186472,-536.891486884704,-508.497281598399,-9999,-9999
4A,4A-2019-2020,-658.1825113326,-563.030246731907,-523.441089033049,-510.189484432139,-9999,-9999,-416.445752648947
5A,5A-2019-2020,-1556.97783712446,-1313.85455559673,-1307.45504438289,-1144.62059409637,-1120.25961822722,-9999,-1109.06557446838
6A,6A-2019-2020,-1818.7151850496,-1766.7471421856,-1073.19335207411,-9999,-9999,-860.451430371366,-9999
3A,3A-2019-2020,-1012.33447237739,-768.918116909742,-566.667830214216,-9999,-456.8619054154,-9999,-9999
2J,2J-2019-2020,-1486.58173411086,-1458.98418207624,-1211.03040873109,-1202.19666770526,-9999,-9999,-9999
2J,2J-2020-2021,-1868.90282601757,-1849.39303651009,-1476.82718186565,-1390.73143976505,-9999,-9999,-9999
2J,2J-2021-2022,-799.315377738213,-754.644744888813,-726.581274773326,-720.495672896344,-9999,-585.779583251173,-566.557398380515
7A,7A-2019-2020,-571.172856209898,-381.583459580964,-324.885559056964,-315.13390933874,-9999,-296.106506399063,-9999
3J,3J-2019-2020,-1374.29221353234,-9999,-1335.5822274772,-1275.45936956743,-9999,-9999,-9999
3J,3J-2020-2021,-1065.49111375064,-920.081693635959,-653.482565237101,-9999,-9999,-9999,-471.019476935905
5J,5J-2019-2020,-424.747334808563,-391.234143379188,-377.770232891928,-334.61142050744,-9999,-9999,-9999
4J,4J-2019-2020,-965.212632165238,-866.513357386124,-803.087908165885,-9999,-769.12620826511,-9999,-9999
4J,4J-2020-2021,-1505.18632578486,-9999,-1431.91632932776,-1205.08020109859,-1186.09515886287,-1178.46900345097,-1170.1946353489
4J,4J-2021-2022,-1322.07855736716,-1298.49629637686,-1257.83527384864,-919.739798303881,-904.512022370048,-9999,-9999
6J,6J-2019-2020,-837.698582621329,-820.971447537265,-788.858519447156,-762.98600087627,-730.492137094815,-9999,-9999
6J,6J-2020-2021,-455.341598409413,-206.817457803734,-167.983055047752,-144.972259501676,-9999,-9999,32.4586863266025
7J,7J-2019-2020,-737.745670072826,-9999,-9999,-9999,-9999,-9999,-9999
7J,7J-2020-2021,-703.487147987222,-646.300538113624,-600.895356720031,-9999,-9999,-9999,-9999
7J,7J-2021-2022,-62.557790506909,-54.1255551068544,-25.3349216266532,-9999,-9999,-9999,-9999
9J (first deployment),9J (first deployment)-2019-2020,-28.0407646414899,57.9475648466071,81.5855464141224,-9999,-9999,-9999,-9999
9A,9A-2019-2020,-1879.1427527419,-9999,-985.620566343167,-9999,-805.65430781677,-800.64334363862,-9999
9A,9A-2020-2021,-699.109036683727,-572.274277615021,-9999,-9999,-9999,-9999,-9999
2K,2K-2019-2020,-1311.79757534475,-1215.3044675227,-9999,-9999,-9999,-9999,-9999
2K,2K-2020-2021,-1298.82257920482,-1208.85605461023,-1032.8149655089,-9999,-963.027410184286,-9999,-9999
2K,2K-2021-2022,-633.690611228134,-564.521822662551,-520.306573885739,-9999,-9999,-9999,-9999
3K,3K-2019-2020,-1279.34342535528,-1190.08892552389,-937.027270529326,-9999,-9999,-9999,-9999
3K,3K-2020-2021,-1543.09694585122,-9999,-9999,-1030.59190517233,-9999,-9999,-9999
3K,3K-2021-2022,-600.335402509642,-520.010522906382,-497.526310557799,-366.201884799631,-358.580474836389,-9999,-9999
4K,4K-2019-2020,-1681.00343937572,-1608.92276036296,-1244.05025459122,-9999,-1204.33614151984,-946.277961455546,-924.632354543036
4K,4K-2020-2021,-1971.2196388525,-1919.80402028286,-1275.09717260122,-1255.62393833226,-1228.81338608111,-1224.58543222519,-9999
4K,4K-2021-2022,-1567.12400899697,-1414.1059422434,-864.883818230055,-790.981034611126,-631.092861872753,-9999,-9999
6K,6K-2019-2020,-1531.69443839058,-9999,-816.521374435069,-768.785314847127,-9999,-9999,-9999
6K,6K-2020-2021,-1878.10150676235,-9999,-1154.36895261938,-9999,-1052.8398203755,-9999,-9999
6K,6K-2021-2022,-1531.44219185167,-1491.79170583011,-873.897436202918,-828.894171470134,-9999,-9999,-9999
5K,5K-2019-2020,-324.732724447862,-227.392871305,-206.624728240822,-9999,-9999,-9999,-201.444281566649
8A,8A-2020-2021,-2410.70297615647,-9999,-2203.19898171823,-2175.46962680782,-1719.20947699552,-1689.75934725908,-9999
8A,8A-2021-2022,-2217.46759133716,-1743.40045418944,-1731.39580498564,-1710.69653191814,-1447.69638917361,-1247.16495659906,-9999
1A,1A-2020-2021,-2301.73261918267,-2277.16945157641,-1465.18336021175,-1312.36688384816,-9999,-1269.22673407946,-9999
1A,1A-2021-2022,-2085.36431692059,-2048.02698894602,-1503.63311921589,-1426.42607909442,-1275.43631856842,-1259.37593437627,-9999
0A,0A-2020-2021,-1023.45657852485,-1005.50142835886,-9999,-9999,-9999,-9999,-9999
0A,0A-2021-2022,-1042.07129005155,-1018.1615041642,-772.816307697523,-9999,-9999,-9999,-9999
1E,1E-2020-2021,-874.492634062396,-854.481195910482,-668.461606789519,-9999,-640.147571254688,-9999,-9999
1E,1E-2021-2022,-902.597314118563,-852.159499795141,-9999,-9999,-9999,-9999,-9999
2E,2E-2020-2021,-2145.43747332391,-9999,-1395.86705934924,-1383.14278423561,-1182.80276295889,-9999,-9999
2E,2E-2021-2022,-1703.0987501007,-1539.79930898514,-1178.11943849799,-9999,-9999,-9999,-9999
0E,0E-2020-2021,-1248.53389798847,-868.773704403861,-655.616295436867,-633.325451278385,-604.613305478898,-9999,-9999
9E,9E-2020-2021,-1886.55716143473,-1537.02245911679,-9999,-1250.5550526353,-9999,-9999,-9999
8E,8E-2020-2021,-2666.09723807914,-9999,-1853.12703004279,-9999,-9999,-9999,-9999
6E,6E-2020-2021,-2051.36193144898,-9999,-1136.69331172201,-9999,-9999,-1102.31220396173,-9999
6E,6E-2021-2022,-1831.83455989041,-9999,-996.40555987339,-817.521533731867,-9999,-788.328994462741,-9999
7E,7E-2020-2021,-2412.61981571842,-9999,-1709.89055278327,-1537.56758775028,-1478.32534798592,-1478.53925168493,-9999
7E,7E-2021-2022,-1910.28760278877,-1865.65988105395,-1574.25176991108,-1479.29480798758,-9999,-9999,-1471.80559648081
1R,1R-2020-2021,-1806.72093342318,-1690.1538985965,-1127.76469116872,-9999,-9999,-9999,-9999
0R,0R-2020-2021,-2386.34515823207,-2337.04853331329,-1770.27779568591,-1581.05019972974,-9999,-9999,-9999
