id,year,one_int_loo,two_int_loo,three_int_loo,four_int_loo,five_int_loo,six_int_loo,seven_int_loo
NA,NA,NA,NA,NA,NA,NA,NA,NA
2A,2A-2019-2020,-1179.50298032164,-518.562961252783,-9999,-253.947759845316,-9999,-9999,-9999
4A,4A-2019-2020,-658.182262148541,-560.929331889651,-487.258895299465,-9999,-9999,-9999,-9999
5A,5A-2019-2020,-1556.98206077171,-9999,-923.132132280943,-9999,-9999,-9999,-9999
6A,6A-2019-2020,-1818.71892601215,-1301.95026914114,-583.046020295272,-482.931804364597,-9999,-9999,-9999
3A,3A-2019-2020,-1012.32293459082,-9999,-9999,-9999,-9999,-9999,-9999
2J,2J-2019-2020,-1486.67694614107,-1101.29186367019,-9999,-593.76070933335,-461.984009894244,-404.357866173327,-9999
2J,2J-2020-2021,-1868.92553866174,-9999,-9999,-9999,-9999,-9999,-9999
2J,2J-2021-2022,-799.36672770776,-298.961936767043,-9999,-9999,-9999,-9999,-9999
7A,7A-2019-2020,-571.13253971781,-390.447758497555,-323.040571504256,-297.53782138214,-9999,-9999,-9999
3J,3J-2019-2020,-1374.2851282581,-940.893294110126,-9999,-9999,-9999,-9999,-9999
3J,3J-2020-2021,-1065.45075324492,-9999,-9999,-9999,-9999,-9999,-9999
5J,5J-2019-2020,-424.784651988554,-150.437632280773,-9999,-9999,-9999,-9999,-9999
4J,4J-2019-2020,-965.219513309569,-724.321508757808,-700.971844517906,-651.062466468062,-9999,-9999,-9999
4J,4J-2020-2021,-1505.27482889364,-9999,-1037.09313259312,-9999,-745.033188836599,-9999,-9999
4J,4J-2021-2022,-1322.02952453493,-9999,-9999,-9999,-9999,-9999,-9999
6J,6J-2019-2020,-837.750227270737,-524.644886984124,-265.113525291185,-9999,-9999,-9999,-9999
6J,6J-2020-2021,-455.370054905576,-101.551692296182,-9999,-9999,-9999,-9999,-9999
7J,7J-2019-2020,-737.733392714043,-9999,-9999,-138.884437331939,-9999,-9999,-9999
7J,7J-2020-2021,-703.480350135972,-559.132877070285,-9999,-9999,-9999,-9999,-9999
7J,7J-2021-2022,-62.5518292013168,-9999,1.06413329519461,-9999,-9999,-9999,-9999
9J (first deployment),9J (first deployment)-2019-2020,-24.3591447841672,-9999,-9999,-9999,-9999,-9999,-9999
9A,9A-2019-2020,-1879.13447999529,-9999,-9999,-9999,-9999,-9999,-9999
9A,9A-2020-2021,-699.127925774166,-311.599665080603,-277.377879328516,-9999,-9999,-9999,-9999
2K,2K-2019-2020,-1311.7832424406,-796.736054570882,-460.69002622081,-9999,-9999,-9999,-9999
2K,2K-2020-2021,-1298.81018420565,-776.988705286143,-675.23201786976,-9999,-9999,-9999,-9999
2K,2K-2021-2022,-633.707198680548,-176.336386761222,-152.138289981235,-9999,-9999,-9999,-9999
3K,3K-2019-2020,-1279.33764110373,-9999,-9999,-652.458816440008,-9999,-9999,-9999
3K,3K-2020-2021,-1543.0967732728,-9999,-9999,-9999,-9999,-9999,-9999
3K,3K-2021-2022,-600.327750386425,-188.264543456754,-103.573777071755,-9999,-9999,-9999,-9999
4K,4K-2019-2020,-1681.01067231022,-9999,-9999,-709.018275497862,-9999,-9999,-9999
4K,4K-2020-2021,-1971.19558288935,-9999,-9999,-9999,-9999,-9999,-9999
4K,4K-2021-2022,-1567.12280746384,-9999,-9999,-9999,-9999,-9999,-9999
6K,6K-2019-2020,-1531.69155157141,-9999,-9999,-9999,-9999,-9999,-9999
6K,6K-2020-2021,-1878.11488831374,-9999,-9999,-9999,-552.072983782044,-9999,-9999
6K,6K-2021-2022,-1531.45096583312,-1185.9186819772,-886.515842037177,-597.587579874455,-9999,-9999,-9999
5K,5K-2019-2020,-324.739285330206,-224.727279665444,-9999,-110.051006071825,-9999,-9999,-9999
8A,8A-2020-2021,-2410.7028421321,-1505.23117123438,-9999,-9999,-9999,-9999,-9999
8A,8A-2021-2022,-2217.44250095741,-9999,-9999,-9999,-9999,-9999,-9999
1A,1A-2020-2021,-2301.79374698313,-9999,-9999,-819.936856343456,-9999,-9999,-9999
1A,1A-2021-2022,-2085.36884118617,-9999,-9999,-1053.79117725674,-9999,-9999,-9999
0A,0A-2020-2021,-1023.45864210589,-879.934467868048,-9999,-9999,-9999,-9999,-9999
0A,0A-2021-2022,-1042.07847519222,-892.900408803529,-9999,-9999,-9999,-9999,-9999
1E,1E-2020-2021,-874.491043013746,-694.007362090146,-9999,-9999,-9999,-9999,-9999
1E,1E-2021-2022,-902.609144730718,-709.510850296454,-437.843387590303,-312.246565178821,-9999,-9999,-9999
2E,2E-2020-2021,-2145.44437380099,-9999,-828.332383139267,-9999,-9999,-9999,-9999
2E,2E-2021-2022,-1703.12660573202,-9999,-9999,-9999,-9999,-9999,-9999
0E,0E-2020-2021,-1248.53083971421,-608.117240726367,-9999,-378.384127325732,-9999,-308.855024629786,-9999
9E,9E-2020-2021,-1886.56823342356,-990.076614095577,-9999,-9999,-9999,-9999,-9999
8E,8E-2020-2021,-2666.09345931026,-9999,-9999,-9999,-9999,-9999,-9999
6E,6E-2020-2021,-2051.36094387784,-9999,-9999,-9999,-9999,-9999,-9999
6E,6E-2021-2022,-1831.86729672694,-1279.39814075251,-927.900805148768,-9999,-9999,-9999,-9999
7E,7E-2020-2021,-2412.62219605478,-9999,-977.993286996781,-9999,-9999,-9999,-9999
