local_identifier,sex
2J,F
3J,F
4J,F
5J,F
6J,M
7J,M
9J (first deployment),F
2K,F
3K,F
4K,F
5K,F
6K,F
2A,F
4A,F
5A,F
6A,F
3A,F
7A,F
9A,F
8A,F
0A,M
1A,M
1E,F
0E,F
2E,M
8E,M
9E,F
6E,M
0R,F
1R,F
7E,F
2R,F
3R,F
5R,F
6R,M
4R,F
3E,M
7R,F
8R,F
0T,M
9R,M
2T,M
3T,F
6T,M
1T,F
9T,F
5T,F
7T,F
8T,F
0L,F
1L,F
2L,M
3L,F
4T,F
4L,M
4E,M
5E,F
6L,M
5L,F
0T_2nd,M
0E_2nd,M
6L_2nd,F
9H_2nd,M
2H_2nd,F
6R_2nd,F
0L_2nd,F
8E_2nd,F
6P,F
0N_2nd,M
0H ,M
1H,M
2H,F
3H,F
4H,M
5H,F
0M,F
0N,F
1N,M
2N,F
3N,F
6H,M
7H,M
8H,F
3M,F
1M,F
2M,M
4N,F
5N,F
6N,F
7N,M
9J (swan originally collared as 5J),F
7K,M
0C,M
2C,M
1C,M
3C,M
4C,M
9H,M
5C,M
2P,F
1P,F
3P,F
6C,M
7C,M
8C,M
4P,M
0P,M
9P,F
8N,F
9N,F
4M,M
5M,F
6M,F
7M,F
8M,F
5P,F
7P,M
8P,F
9M,M
9C,F
0C_2nd,M
7L,M
8L,F
9L,F
0H_2nd,F
5H_2nd,M
6C_2nd,M
